
03001,2003/2/23,26,28,11,13,10,12,11,10,11,12,13,26,28,11
03002,2003/2/27,9,4,26,21,19,20,12,4,9,19,20,21,26,12
03003,2003/3/2,23,7,28,10,1,32,16,1,7,10,23,28,32,16
03004,2003/3/6,13,4,7,25,6,10,3,4,6,7,10,13,25,3
03005,2003/3/9,4,30,17,15,31,6,16,4,6,15,17,30,31,16
03006,2003/3/13,1,10,27,26,21,3,6,1,3,10,21,26,27,6
03007,2003/3/16,23,19,9,26,1,21,7,1,9,19,21,23,26,7
03008,2003/3/20,9,8,17,23,14,5,8,5,8,9,14,17,23,8
03009,2003/3/23,30,18,9,22,5,20,9,5,9,18,20,22,30,9
03010,2003/3/27,1,17,24,8,2,13,13,1,2,8,13,17,24,13
03011,2003/3/30,12,11,30,4,5,32,15,4,5,11,12,30,32,15
03012,2003/4/3,17,2,12,16,27,30,12,2,12,16,17,27,30,12
03013,2003/4/6,23,13,8,32,17,21,12,8,13,17,21,23,32,12
03014,2003/4/10,3,21,7,31,8,5,2,3,5,7,8,21,31,2
03015,2003/4/13,25,26,4,11,32,19,13,4,11,19,25,26,32,13
03016,2003/4/17,30,33,11,17,28,31,6,11,17,28,30,31,33,6
03017,2003/4/20,25,31,18,8,5,23,6,5,8,18,23,25,31,6
03018,2003/4/24,16,20,5,19,25,28,13,5,16,19,20,25,28,13
03019,2003/4/27,12,33,13,8,16,4,9,4,8,12,13,16,33,9
03020,2003/5/1,26,25,27,32,10,7,4,7,10,25,26,27,32,4
03021,2003/5/4,15,18,30,26,25,14,1,14,15,18,25,26,30,1
03022,2003/5/8,14,2,32,11,7,12,8,2,7,11,12,14,32,8
03023,2003/5/11,20,31,22,10,26,1,2,1,10,20,22,26,31,2
03024,2003/5/15,15,2,30,17,22,7,14,2,7,15,17,22,30,14
03025,2003/5/18,27,1,14,5,13,11,12,1,5,11,13,14,27,12
03026,2003/5/22,31,26,13,8,29,15,16,8,13,15,26,29,31,16
03027,2003/5/25,17,27,11,28,14,1,15,1,11,14,17,27,28,15
03028,2003/5/29,13,32,16,20,6,28,7,6,13,16,20,28,32,7
03029,2003/6/1,15,32,7,2,26,29,10,2,7,15,26,29,32,10
03030,2003/6/5,27,23,6,13,2,14,7,2,6,13,14,23,27,7
03031,2003/6/8,32,22,17,28,11,20,1,11,17,20,22,28,32,1
03032,2003/6/12,25,27,4,29,30,11,13,4,11,25,27,29,30,13
03033,2003/6/15,27,30,20,1,7,14,10,1,7,14,20,27,30,10
03034,2003/6/19,8,25,16,23,13,14,14,8,13,14,16,23,25,14
03035,2003/6/22,10,4,5,8,11,3,8,3,4,5,8,10,11,8
03036,2003/6/26,27,24,21,7,25,28,15,7,21,24,25,27,28,15
03037,2003/6/29,14,32,26,9,18,17,7,9,14,17,18,26,32,7
03038,2003/7/3,8,7,24,5,25,27,16,5,7,8,24,25,27,16
03039,2003/7/6,5,27,24,23,3,32,3,3,5,23,24,27,32,3
03040,2003/7/10,23,14,4,5,12,6,16,4,5,6,12,14,23,16
03041,2003/7/13,17,18,24,3,2,25,11,2,3,17,18,24,25,11
03042,2003/7/17,20,5,10,15,3,7,7,3,5,7,10,15,20,7
03043,2003/7/20,20,2,8,19,10,32,13,2,8,10,19,20,32,13
03044,2003/7/24,16,33,32,9,5,2,15,2,5,9,16,32,33,15
03045,2003/7/27,3,15,17,7,32,14,3,3,7,14,15,17,32,3
03046,2003/7/31,11,10,7,8,17,26,11,7,8,10,11,17,26,11
03047,2003/8/3,3,32,17,26,33,28,16,3,17,26,28,32,33,16
03048,2003/8/7,31,28,30,20,12,10,9,10,12,20,28,30,31,9
03049,2003/8/10,24,25,13,3,6,7,15,3,6,7,13,24,25,15
03050,2003/8/14,24,23,26,2,17,8,13,2,8,17,23,24,26,13
03051,2003/8/17,13,4,17,24,27,15,1,4,13,15,17,24,27,1
03052,2003/8/21,1,30,12,13,31,23,11,1,12,13,23,30,31,11
03053,2003/8/24,20,29,19,21,28,15,13,15,19,20,21,28,29,13
03054,2003/8/28,9,2,33,21,31,5,12,2,5,9,21,31,33,12
03055,2003/8/31,28,13,16,6,31,21,16,6,13,16,21,28,31,16
03056,2003/9/4,17,8,28,29,21,26,7,8,17,21,26,28,29,7
03057,2003/9/7,25,31,18,24,30,19,16,18,19,24,25,30,31,16
03058,2003/9/11,11,32,33,16,9,28,2,9,11,16,28,32,33,2
03059,2003/9/14,6,5,3,30,18,2,4,2,3,5,6,18,30,4
03060,2003/9/18,6,28,4,17,2,21,11,2,4,6,17,21,28,11
03061,2003/9/21,28,20,32,21,5,3,2,3,5,20,21,28,32,2
03062,2003/9/25,12,6,1,20,19,32,14,1,6,12,19,20,32,14
03063,2003/9/28,8,9,33,5,14,21,11,5,8,9,14,21,33,11
03064,2003/10/2,4,30,6,15,8,12,1,4,6,8,12,15,30,1
03065,2003/10/5,30,6,15,16,17,33,11,6,15,16,17,30,33,11
03066,2003/10/9,32,20,7,3,8,24,14,3,7,8,20,24,32,14
03067,2003/10/12,13,12,31,11,27,5,10,5,11,12,13,27,31,10
03068,2003/10/16,27,9,25,32,19,33,11,9,19,25,27,32,33,11
03069,2003/10/19,16,28,19,7,11,26,11,7,11,16,19,26,28,11
03070,2003/10/23,17,2,1,18,4,19,8,1,2,4,17,18,19,8
03071,2003/10/26,11,9,33,12,14,15,11,9,11,12,14,15,33,11
03072,2003/10/30,27,3,19,6,8,11,11,3,6,8,11,19,27,11
03073,2003/11/2,21,23,14,12,2,30,13,2,12,14,21,23,30,13
03074,2003/11/6,32,12,2,22,19,27,1,2,12,19,22,27,32,1
03075,2003/11/9,17,22,31,33,16,19,11,16,17,19,22,31,33,11
03076,2003/11/13,13,18,29,20,1,16,2,1,13,16,18,20,29,2
03077,2003/11/16,24,16,12,4,22,25,6,4,12,16,22,24,25,6
03078,2003/11/20,26,23,30,12,29,7,11,7,12,23,26,29,30,11
03079,2003/11/23,23,31,22,12,26,15,4,12,15,22,23,26,31,4
03080,2003/11/27,24,28,20,9,30,25,10,9,20,24,25,28,30,10
03081,2003/11/30,1,2,29,26,30,14,7,1,2,14,26,29,30,7
03082,2003/12/4,18,30,31,7,17,19,14,7,17,18,19,30,31,14
03083,2003/12/7,28,1,18,14,3,26,1,1,3,14,18,26,28,1
03084,2003/12/11,7,17,10,2,6,33,3,2,6,7,10,17,33,3
03085,2003/12/14,19,1,4,12,11,27,14,1,4,11,12,19,27,14
